col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
49,2.4,2.8,2.5,2.5,2.1,12.2,0.41,0.80%,Submit
,,,,,,,,,
Dunk,,,,,,,,,
DF 4.5,,,,,,,,,
70,2.9,2.7,1.9,2.2,2.4,12,0.54,1.20%,Submit
,,,,,,,,,
Piroe,,,,,,,,,
FW 5.5,,,,,,,,,
66,3.3,2.1,2.4,2,2.1,12,0.44,2.40%,Submit
,,,,,,,,,
Bogle,,,,,,,,,
DF 4.5,,,,,,,,,
72,2.3,1.8,2.7,2.5,2.7,12,0.53,0.30%,Submit
,,,,,,,,,
Kluivert,,,,,,,,,
MD 7.0,,,,,,,,,
0,0,1.3,3.1,3.9,3.7,12,0.34,1.80%,Submit
,,,,,,,,,
Yoro,,,,,,,,,
DF 4.5,,,,,,,,,
77,2.3,2.6,3.3,1.8,2,11.9,0.53,1.40%,Submit
,,,,,,,,,
Gittens,,,,,,,,,
MD 6.5,,,,,,,,,
44,2.7,2.5,2.3,2.4,2.1,11.9,0.37,0.30%,Submit
,,,,,,,,,
Doherty,,,,,,,,,
DF 4.5,,,,,,,,,
70,2.1,2.3,2.8,1.9,2.7,11.8,0.53,0.20%,Submit
,,,,,,,,,
Martinelli,,,,,,,,,
MD 7.0,,,,,,,,,
53,3,3.1,1.8,2,2,11.8,0.34,1.50%,Submit
,,,,,,,,,
Ndoye,,,,,,,,,
MD 6.0,,,,,,,,,
59,3,2.1,2.5,1.8,2.4,11.8,0.39,0.30%,Submit
,,,,,,,,,
Mayenda,,,,,,,,,
FW 5.5,,,,,,,,,
69,3.2,2.5,2.1,1.8,2,11.8,0.43,0.30%,Submit
,,,,,,,,,
G�ndo?an,,,,,,,,,
MD 6.5,,,,,,,,,
56,2.7,2.8,2.1,2.3,1.7,11.7,0.36,0.20%,Submit
,,,,,,,,,
Adams,,,,,,,,,
MD 5.0,,,,,,,,,
86,3,3.2,2,1.7,1.7,11.6,0.46,0.20%,Submit
,,,,,,,,,
N.Jackson,,,,,,,,,
FW 6.5,,,,,,,,,
0,0,2.8,3.2,2.7,2.8,11.5,0.35,0.10%,Submit
,,,,,,,,,
Andreas,,,,,,,,,
MD 5.5,,,,,,,,,
34,1.7,2.3,2.1,2.5,2.8,11.4,0.41,0.40%,Submit
,,,,,,,,,
Munetsi,,,,,,,,,
MD 5.5,,,,,,,,,
45,1.9,2,2.6,2.2,2.7,11.4,0.41,0.00%,Submit
,,,,,,,,,
Gnonto,,,,,,,,,
MD 5.5,,,,,,,,,
52,2.6,1.8,2.4,2.3,2.2,11.4,0.41,0.40%,Submit
,,,,,,,,,
Alcaraz,,,,,,,,,
MD 5.5,,,,,,,,,
47,2.3,2.5,2.3,2.4,1.9,11.4,0.41,0.20%,Submit
,,,,,,,,,
Beto,,,,,,,,,
FW 5.5,,,,,,,,,
47,2.4,2.5,2.3,2.3,1.8,11.3,0.41,10.20%,Submit
,,,,,,,,,
Ugochukwu,,,,,,,,,
MD 5.0,,,,,,,,,
52,1.8,2.8,2.3,2.2,2.2,11.3,0.45,0.00%,Submit
,,,,,,,,,
Tosin,,,,,,,,,
DF 4.5,,,,,,,,,
67,3,2.4,2.4,1.7,1.7,11.3,0.5,0.90%,Submit
,,,,,,,,,
Richarlison,,,,,,,,,
FW 6.5,,,,,,,,,
47,3,1.9,2.2,2.1,2.1,11.3,0.35,1.50%,Submit
,,,,,,,,,
Lewis-Potter,,,,,,,,,
DF 5.0,,,,,,,,,
64,2.7,2.1,2.7,1.9,1.8,11.2,0.45,0.40%,Submit
,,,,,,,,,
Doku,,,,,,,,,
MD 6.5,,,,,,,,,
43,2.5,2.7,2,2.2,1.9,11.2,0.34,1.10%,Submit
,,,,,,,,,
Henderson,,,,,,,,,
MD 5.0,,,,,,,,,
54,2.2,2.4,2.3,2,2.2,11.1,0.44,0.30%,Submit
,,,,,,,,,
Sadiki,,,,,,,,,
MD 5.0,,,,,,,,,
64,2.4,2.1,2.2,2.1,2.2,11.1,0.44,0.00%,Submit
,,,,,,,,,
Yarmoliuk,,,,,,,,,
MD 5.0,,,,,,,,,
64,2.4,2.4,2.2,2,2,11,0.44,0.10%,Submit
,,,,,,,,,
Carvalho,,,,,,,,,
MD 5.0,,,,,,,,,
63,3.1,2.3,2.3,1.8,1.6,11,0.44,0.30%,Submit
,,,,,,,,,
Digne,,,,,,,,,
DF 4.5,,,,,,,,,
47,2.1,1.9,2.4,2,2.6,11,0.49,1.80%,Submit
,,,,,,,,,
Kayode,,,,,,,,,
DF 4.5,,,,,,,,,
66,2.4,2.2,2.7,1.7,1.8,10.9,0.48,0.20%,Submit
,,,,,,,,,
Cherki,,,,,,,,,
MD 6.5,,,,,,,,,
40,2.5,2.5,1.9,2.3,1.8,10.9,0.34,7.80%,Submit
,,,,,,,,,
Reinildo,,,,,,,,,
DF 4.0,,,,,,,,,
78,2.5,2.3,2.2,1.8,1.9,10.8,0.54,7.20%,Submit
,,,,,,,,,
Johnson,,,,,,,,,
MD 7.0,,,,,,,,,
39,2.5,1.8,2.2,2.2,2,10.8,0.31,3.40%,Submit
,,,,,,,,,
Tanaka,,,,,,,,,
MD 5.0,,,,,,,,,
69,2.5,2,2.1,2,2.2,10.8,0.43,0.30%,Submit
,,,,,,,,,
J.Timber,,,,,,,,,
DF 5.5,,,,,,,,,
44,1.8,2.6,1.5,2.7,2.2,10.8,0.39,2.30%,Submit
,,,,,,,,,
Maatsen,,,,,,,,,
DF 4.5,,,,,,,,,
45,2,1.7,2.2,2.1,2.6,10.7,0.47,0.90%,Submit
,,,,,,,,,
Havertz,,,,,,,,,
FW 7.5,,,,,,,,,
34,2,2.8,1.8,2.1,1.9,10.7,0.28,1.20%,Submit
,,,,,,,,,
Smith Rowe,,,,,,,,,
MD 6.0,,,,,,,,,
41,1.9,2.3,1.9,2.3,2.2,10.6,0.35,1.10%,Submit
,,,,,,,,,
Jensen,,,,,,,,,
MD 5.0,,,,,,,,,
56,2.4,2.4,2.4,1.8,1.7,10.6,0.42,0.10%,Submit
,,,,,,,,,
McNeil,,,,,,,,,
MD 6.0,,,,,,,,,
49,2.3,2.3,2,2.1,1.9,10.6,0.35,0.50%,Submit
,,,,,,,,,
White,,,,,,,,,
DF 5.5,,,,,,,,,
57,2.4,2.7,1.4,2.2,1.8,10.5,0.38,0.80%,Submit
,,,,,,,,,
Sangar�,,,,,,,,,
MD 5.0,,,,,,,,,
54,2.2,2,2.1,2,2.2,10.5,0.42,0.10%,Submit
,,,,,,,,,
Alderete,,,,,,,,,
DF 4.0,,,,,,,,,
17,0.6,3,2.9,2,2,10.4,0.52,0.40%,Submit
,,,,,,,,,
Dalot,,,,,,,,,
DF 4.5,,,,,,,,,
64,1.9,2.1,3,1.5,1.9,10.4,0.46,2.40%,Submit
,,,,,,,,,
Sessegnon,,,,,,,,,
MD 5.5,,,,,,,,,
54,1.7,2.8,2.2,1.8,1.8,10.4,0.38,0.10%,Submit
,,,,,,,,,
Isak,,,,,,,,,
FW 10.5,,,,,,,,,
0,0,0,0,5.7,4.6,10.4,0.2,13.40%,Submit
,,,,,,,,,
E.Le F�e,,,,,,,,,
MD 5.0,,,,,,,,,
48,2.1,2,2,2,2.1,10.2,0.41,0.50%,Submit
,,,,,,,,,
Ampadu,,,,,,,,,
MD 5.0,,,,,,,,,
69,2.4,1.9,2,2,1.9,10.2,0.41,0.10%,Submit
,,,,,,,,,
Scott,,,,,,,,,
MD 5.0,,,,,,,,,
75,2.8,3.1,1.5,1.3,1.4,10.2,0.41,0.10%,Submit
,,,,,,,,,
J.Murphy,,,,,,,,,
MD 6.5,,,,,,,,,
45,2.2,2,2.5,1.8,1.8,10.2,0.31,2.70%,Submit
,,,,,,,,,
Brooks,,,,,,,,,
MD 5.0,,,,,,,,,
65,2.4,2.8,1.6,1.7,1.7,10.2,0.41,0.10%,Submit
,,,,,,,,,
Dominic Calvert-Lewin,,,,,,,,,
FW 99.9,,,,,,,,,
23,1.5,1.5,2.3,2.2,2.6,10.2,0.02,0.00%,
,,,,,,,,,
McAtee,,,,,,,,,
MD 5.5,,,,,,,,,
11,0.7,1.9,2.8,2,2.7,10.1,0.37,0.20%,Submit
,,,,,,,,,
M�ller Wolfe,,,,,,,,,
DF 4.5,,,,,,,,,
69,1.9,1.8,2.5,1.5,2.4,10.1,0.45,0.00%,Submit
,,,,,,,,,
Ayari,,,,,,,,,
MD 5.0,,,,,,,,,
44,2.1,2.1,1.9,2,2,10.1,0.4,0.20%,Submit
,,,,,,,,,
Madueke,,,,,,,,,
MD 7.0,,,,,,,,,
34,2.1,2.3,1.5,2.1,2.1,10.1,0.29,1.30%,Submit
,,,,,,,,,
Broja,,,,,,,,,
FW 5.5,,,,,,,,,
29,1.5,2.1,1.9,2.1,2.3,10,0.36,0.10%,Submit
,,,,,,,,,
Fofana,,,,,,,,,
DF 4.5,,,,,,,,,
24,1,1.6,2.2,2.6,2.4,9.9,0.44,0.30%,Submit
,,,,,,,,,
Fer L�pez,,,,,,,,,
MD 5.5,,,,,,,,,
49,2.2,2,1.9,1.5,2.1,9.8,0.36,0.10%,Submit
,,,,,,,,,
Spence,,,,,,,,,
DF 4.5,,,,,,,,,
68,3.2,1.3,1.9,1.8,1.6,9.7,0.43,1.00%,Submit
,,,,,,,,,
Muniz,,,,,,,,,
FW 5.5,,,,,,,,,
19,1.1,1.8,1.8,2.5,2.4,9.6,0.35,2.10%,Submit
,,,,,,,,,
Hughes,,,,,,,,,
MD 5.0,,,,,,,,,
56,2,2.3,1.7,1.9,1.6,9.5,0.38,0.10%,Submit
,,,,,,,,,
Smith,,,,,,,,,
DF 4.5,,,,,,,,,
61,1.3,2.4,1.8,2,1.9,9.5,0.42,0.20%,Submit
,,,,,,,,,
Thiaw,,,,,,,,,
DF 5.0,,,,,,,,,
29,1,1.3,2.4,2.6,2.2,9.4,0.38,0.10%,Submit
,,,,,,,,,
Hoever,,,,,,,,,
DF 4.0,,,,,,,,,
59,2,1.8,2,1.4,2.1,9.4,0.47,2.50%,Submit
,,,,,,,,,
Bijol,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,1.9,2.5,2.4,2.6,9.4,0.47,0.20%,Submit
,,,,,,,,,
Longstaff,,,,,,,,,
MD 5.0,,,,,,,,,
53,2.1,1.6,1.9,1.8,1.9,9.4,0.37,0.20%,Submit
,,,,,,,,,
Branthwaite,,,,,,,,,
DF 5.5,,,,,,,,,
22,0.4,1.3,2.4,3,2.1,9.3,0.34,1.50%,Submit
,,,,,,,,,
Sou?ek,,,,,,,,,
MD 6.0,,,,,,,,,
37,1.9,1.7,1.8,1.9,2,9.3,0.31,1.00%,Submit
,,,,,,,,,
King,,,,,,,,,
MD 4.5,,,,,,,,,
44,2,2.1,1.6,1.8,1.7,9.1,0.41,0.80%,Submit
,,,,,,,,,
Rodrigo,,,,,,,,,
MD 6.5,,,,,,,,,
8,0.2,1.3,1.7,2.9,3,9.1,0.28,0.60%,Submit
,,,,,,,,,
Igor Jesus,,,,,,,,,
FW 6.0,,,,,,,,,
34,1.9,1.7,2,1.7,1.7,9.1,0.3,0.90%,Submit
,,,,,,,,,
Bergvall,,,,,,,,,
MD 5.5,,,,,,,,,
44,2.1,1.6,1.8,1.8,1.7,9.1,0.33,0.20%,Submit
,,,,,,,,,
Matheus N.,,,,,,,,,
DF 5.5,,,,,,,,,
44,2.1,1.9,1.6,2,1.3,9,0.33,0.50%,Submit
,,,,,,,,,
C.Jones,,,,,,,,,
MD 5.5,,,,,,,,,
55,2.7,1.3,1.6,1.6,1.7,9,0.33,0.10%,Submit
,,,,,,,,,
Gruda,,,,,,,,,
MD 5.5,,,,,,,,,
35,2.1,1.8,1.7,1.5,1.9,9,0.33,0.10%,Submit
,,,,,,,,,
Potts,,,,,,,,,
MD 4.5,,,,,,,,,
66,2.5,1.8,1.7,1.4,1.4,8.9,0.4,0.80%,Submit
,,,,,,,,,
Ugarte,,,,,,,,,
MD 5.0,,,,,,,,,
46,1.7,1.8,1.9,1.6,1.8,8.8,0.35,0.20%,Submit
,,,,,,,,,
Yates,,,,,,,,,
MD 5.0,,,,,,,,,
44,1.9,1.7,1.7,1.5,1.9,8.7,0.35,0.10%,Submit
,,,,,,,,,
Burn,,,,,,,,,
DF 5.0,,,,,,,,,
68,2.3,1.6,1.5,1.9,1.3,8.7,0.35,3.40%,Submit
,,,,,,,,,
Lerma,,,,,,,,,
MD 5.0,,,,,,,,,
40,1.5,1.8,1.7,2,1.6,8.7,0.35,0.10%,Submit
,,,,,,,,,
Cook,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,2.9,2.8,2.9,8.6,0.34,0.00%,Submit
,,,,,,,,,
Mainoo,,,,,,,,,
MD 5.0,,,,,,,,,
41,1.6,1.9,1.9,1.5,1.7,8.6,0.34,0.80%,Submit
,,,,,,,,,
Bellegarde,,,,,,,,,
MD 5.5,,,,,,,,,
30,1.4,1.7,1.9,1.5,2.1,8.6,0.31,0.10%,Submit
,,,,,,,,,
O'Riley,,,,,,,,,
MD 5.5,,,,,,,,,
29,1.9,1.8,1.6,1.4,1.9,8.6,0.31,0.10%,Submit
,,,,,,,,,
Onana,,,,,,,,,
MD 5.0,,,,,,,,,
42,1.7,1.6,1.7,1.6,1.8,8.5,0.34,1.60%,Submit
,,,,,,,,,
Savinho,,,,,,,,,
MD 7.0,,,,,,,,,
27,1.7,1.8,1.7,1.7,1.4,8.3,0.24,1.70%,Submit
,,,,,,,,,
J.Ramsey,,,,,,,,,
MD 5.5,,,,,,,,,
19,1,1.7,2.1,1.9,1.6,8.3,0.3,0.60%,Submit
,,,,,,,,,
Robinson,,,,,,,,,
DF 5.0,,,,,,,,,
0,0,0,0.7,3.8,3.5,8.1,0.32,1.80%,Submit
,,,,,,,,,
Odobert,,,,,,,,,
MD 5.5,,,,,,,,,
33,2,1.5,1.7,1.6,1.3,8.1,0.29,0.00%,Submit
,,,,,,,,,
Shaw,,,,,,,,,
DF 4.5,,,,,,,,,
46,1.4,1.7,2.1,1.2,1.4,7.9,0.35,0.20%,Submit
,,,,,,,,,
N.Gonzalez,,,,,,,,,
MD 6.0,,,,,,,,,
56,2.4,2.2,1.6,1.1,0.6,7.9,0.26,0.10%,Submit
,,,,,,,,,
Maguire,,,,,,,,,
DF 4.5,,,,,,,,,
49,1.6,1.6,2.1,1.3,1.2,7.8,0.35,0.70%,Submit
,,,,,,,,,
Wieffer,,,,,,,,,
MD 5.0,,,,,,,,,
35,1.6,1.4,1.5,1.8,1.5,7.8,0.31,0.10%,Submit
,,,,,,,,,
Christie,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0.7,1.8,2.7,2.6,7.7,0.31,0.20%,Submit
,,,,,,,,,
Adama,,,,,,,,,
MD 5.5,,,,,,,,,
31,1.5,1.6,1.4,1.5,1.6,7.7,0.28,0.30%,Submit
,,,,,,,,,
Delap,,,,,,,,,
FW 6.5,,,,,,,,,
33,2.3,1.2,1.3,1.3,1.3,7.5,0.23,4.40%,Submit
,,,,,,,,,
Est�v�o,,,,,,,,,
MD 6.5,,,,,,,,,
24,1.6,1.3,1.4,1.4,1.8,7.5,0.23,1.80%,Submit
,,,,,,,,,
Elliott,,,,,,,,,
MD 5.5,,,,,,,,,
30,1.9,1.2,1.1,1.5,1.8,7.4,0.27,0.20%,Submit
,,,,,,,,,
Aaronson,,,,,,,,,
MD 5.5,,,,,,,,,
27,1.5,1.2,1.5,1.4,1.8,7.4,0.27,0.10%,Submit
,,,,,,,,,
Walker-Peters,,,,,,,,,
DF 4.5,,,,,,,,,
36,1.7,1.2,1.5,1.5,1.4,7.3,0.33,0.50%,Submit
,,,,,,,,,
Udogie,,,,,,,,,
DF 4.5,,,,,,,,,
26,1,1,2.1,1.7,1.6,7.3,0.32,1.90%,Submit
,,,,,,,,,
Keane,,,,,,,,,
DF 4.5,,,,,,,,,
78,3.1,1.9,1.2,0.7,0.4,7.2,0.32,0.30%,Submit
,,,,,,,,,
Akanji,,,,,,,,,
DF 5.5,,,,,,,,,
36,1.6,1.9,1.1,1.5,1.1,7.2,0.26,0.80%,Submit
,,,,,,,,,
Gomez,,,,,,,,,
MD 5.0,,,,,,,,,
32,1.6,1.4,1.4,1.2,1.6,7.1,0.29,0.10%,Submit
,,,,,,,,,
Hinshelwood,,,,,,,,,
MD 5.5,,,,,,,,,
32,1.4,1.4,1.3,1.5,1.5,7.1,0.26,0.10%,Submit
,,,,,,,,,
Milambo,,,,,,,,,
MD 5.5,,,,,,,,,
22,1.1,1.3,1.6,1.5,1.5,7,0.25,0.10%,Submit
,,,,,,,,,
Casemiro,,,,,,,,,
MD 5.5,,,,,,,,,
30,1.3,1.5,1.4,1.3,1.4,6.9,0.25,0.20%,Submit
,,,,,,,,,
Trossard,,,,,,,,,
MD 7.0,,,,,,,,,
9,0.5,1.5,1.6,1.7,1.7,6.9,0.2,0.60%,Submit
,,,,,,,,,
Wilson,,,,,,,,,
FW 6.0,,,,,,,,,
11,0.8,1,1.3,2,1.7,6.8,0.23,0.50%,Submit
,,,,,,,,,
Kroupi.Jr,,,,,,,,,
FW 4.5,,,,,,,,,
26,1.2,1.7,1.1,1.2,1.4,6.7,0.3,1.00%,Submit
,,,,,,,,,
J.Araujo,,,,,,,,,
DF 4.0,,,,,,,,,
33,0.9,1.7,1.4,1.2,1.4,6.7,0.33,1.30%,Submit
,,,,,,,,,
Lewis,,,,,,,,,
DF 5.0,,,,,,,,,
30,1.3,1.6,1.3,1.5,1,6.6,0.27,0.70%,Submit
,,,,,,,,,
Mings,,,,,,,,,
DF 4.5,,,,,,,,,
25,1,1.1,1.3,1.5,1.8,6.6,0.29,0.70%,Submit
,,,,,,,,,
Kamada,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0.7,1.5,2.3,2.1,6.6,0.26,0.00%,Submit
,,,,,,,,,
Osula,,,,,,,,,
FW 5.5,,,,,,,,,
38,2.1,1.6,2,0.4,0.4,6.5,0.23,0.20%,Submit
,,,,,,,,,
Bruun Larsen,,,,,,,,,
MD 5.5,,,,,,,,,
21,1.2,1.5,1.3,1.2,1.4,6.5,0.23,0.00%,Submit
,,,,,,,,,
Castagne,,,,,,,,,
DF 4.5,,,,,,,,,
30,1,1.3,1.1,1.4,1.5,6.4,0.29,0.20%,Submit
,,,,,,,,,
Calafiori,,,,,,,,,
DF 5.5,,,,,,,,,
20,1,1.7,0.9,1.5,1.4,6.4,0.23,0.70%,Submit
,,,,,,,,,
Harrison,,,,,,,,,
MD 5.5,,,,,,,,,
23,1.4,1.1,1.4,1.2,1.4,6.4,0.23,0.20%,Submit
,,,,,,,,,
Esse,,,,,,,,,
MD 5.0,,,,,,,,,
20,1,1.4,1.2,1.5,1.2,6.4,0.25,0.20%,Submit
,,,,,,,,,
Trippier,,,,,,,,,
DF 5.0,,,,,,,,,
31,1.3,1,1.3,1.7,1.1,6.4,0.25,1.80%,Submit
,,,,,,,,,
Ramazani,,,,,,,,,
MD 5.0,,,,,,,,,
22,1.3,1.1,1.2,1.3,1.4,6.4,0.25,0.10%,Submit
,,,,,,,,,
Veltman,,,,,,,,,
DF 4.5,,,,,,,,,
32,1.4,1.3,1.1,1.1,1.4,6.4,0.28,0.30%,Submit
,,,,,,,,,
Roberts,,,,,,,,,
MD 5.5,,,,,,,,,
22,1.2,1.3,1.3,1.1,1.3,6.3,0.23,0.00%,Submit
,,,,,,,,,
Struijk,,,,,,,,,
DF 4.5,,,,,,,,,
77,3.4,0.5,0.7,0.7,0.8,6.1,0.27,0.40%,Submit
,,,,,,,,,
Hickey,,,,,,,,,
DF 4.0,,,,,,,,,
21,0.7,0.9,1.4,1.5,1.6,6.1,0.31,0.50%,Submit
,,,,,,,,,
Robertson,,,,,,,,,
DF 6.0,,,,,,,,,
23,1.2,1,1.2,1.4,1.3,6.1,0.2,1.50%,Submit
,,,,,,,,,
Gusto,,,,,,,,,
DF 5.0,,,,,,,,,
25,1.2,1.2,1.2,1.2,1.2,6.1,0.24,1.80%,Submit
,,,,,,,,,
S.Bueno,,,,,,,,,
DF 4.5,,,,,,,,,
35,1,1,1.4,1,1.4,5.9,0.26,0.10%,Submit
,,,,,,,,,
Bradley,,,,,,,,,
DF 5.0,,,,,,,,,
16,0.4,1.2,1.2,1.4,1.6,5.8,0.23,0.20%,Submit
,,,,,,,,,
Mazraoui,,,,,,,,,
DF 5.0,,,,,,,,,
28,0.5,1.1,1.8,1.1,1.4,5.8,0.23,0.50%,Submit
,,,,,,,,,
Merino,,,,,,,,,
MD 6.0,,,,,,,,,
18,1,1.3,1,1.1,1.2,5.6,0.19,0.70%,Submit
,,,,,,,,,
Marc Guiu,,,,,,,,,
FW 4.5,,,,,,,,,
6,0.4,0.8,1.3,1.4,1.6,5.6,0.25,16.70%,Submit
,,,,,,,,,
Hato,,,,,,,,,
DF 5.0,,,,,,,,,
17,0.8,0.9,1.5,1.2,1.1,5.4,0.22,0.30%,Submit
,,,,,,,,,
Nmecha,,,,,,,,,
FW 5.0,,,,,,,,,
25,1.6,1,1,0.8,1,5.4,0.22,0.50%,Submit
,,,,,,,,,
Khusanov,,,,,,,,,
DF 5.5,,,,,,,,,
25,1.1,1.1,1.1,1.2,0.8,5.3,0.19,0.40%,Submit
,,,,,,,,,
F.Kad?o?lu,,,,,,,,,
DF 4.5,,,,,,,,,
24,1.1,1.1,0.9,0.9,1.2,5.3,0.23,0.20%,Submit
,,,,,,,,,
Awoniyi,,,,,,,,,
FW 5.5,,,,,,,,,
18,1.1,0.8,1.2,1,1,5.3,0.19,0.80%,Submit
,,,,,,,,,
Bailey,,,,,,,,,
MD 5.5,,,,,,,,,
16,1,0.8,1,1.1,1.4,5.2,0.19,0.50%,Submit
,,,,,,,,,
Sosa,,,,,,,,,
DF 5.0,,,,,,,,,
20,0.7,1,1.1,1.5,0.9,5.2,0.21,0.10%,Submit
,,,,,,,,,
Isidor,,,,,,,,,
FW 5.5,,,,,,,,,
13,0.7,1,1.3,0.9,1.2,5.2,0.19,0.30%,Submit
,,,,,,,,,
Y. Mosquera,,,,,,,,,
DF 4.5,,,,,,,,,
19,0.6,0.8,1.1,1.1,1.7,5.2,0.23,0.10%,Submit
,,,,,,,,,
Koleosho,,,,,,,,,
MD 5.0,,,,,,,,,
16,0.8,1.2,1,0.9,1.1,5.1,0.2,0.00%,Submit
,,,,,,,,,
Coppola,,,,,,,,,
DF 4.5,,,,,,,,,
24,1.1,0.9,0.9,1,1.3,5.1,0.23,0.10%,Submit
,,,,,,,,,
Ak�,,,,,,,,,
DF 5.5,,,,,,,,,
21,0.9,1.1,1,1.2,0.8,5.1,0.18,0.60%,Submit
,,,,,,,,,
Hill,,,,,,,,,
DF 4.0,,,,,,,,,
48,1.5,0.8,0.8,1,0.9,5,0.25,0.70%,Submit
,,,,,,,,,
Mount,,,,,,,,,
MD 6.0,,,,,,,,,
19,1,0.9,1.2,1,1,5,0.17,0.20%,Submit
,,,,,,,,,
L.Guilherme,,,,,,,,,
MD 5.0,,,,,,,,,
18,1.1,0.9,1.1,1,0.8,4.9,0.2,0.00%,Submit
,,,,,,,,,
Devenny,,,,,,,,,
MD 4.5,,,,,,,,,
19,0.9,1.1,0.8,1.2,0.8,4.9,0.22,2.00%,Submit
,,,,,,,,,
Morato,,,,,,,,,
DF 4.5,,,,,,,,,
14,0.6,0.8,1.2,0.9,1.4,4.9,0.22,0.10%,Submit
,,,,,,,,,
Jackson Tchatchoua,,,,,,,,,
DF 99.9,,,,,,,,,
0,0,0.9,1.4,1,1.4,4.8,0.01,0.00%,
,,,,,,,,,
Gomez,,,,,,,,,
DF 5.0,,,,,,,,,
17,0.6,0.8,0.8,1.2,1.3,4.7,0.19,0.10%,Submit
,,,,,,,,,
Patterson,,,,,,,,,
DF 4.5,,,,,,,,,
26,0.8,0.9,1.2,1.1,0.7,4.7,0.21,0.10%,Submit
,,,,,,,,,
Laurent,,,,,,,,,
MD 5.0,,,,,,,,,
27,1,1,0.8,0.8,0.9,4.6,0.18,0.00%,Submit
,,,,,,,,,
H�jlund,,,,,,,,,
FW 6.5,,,,,,,,,
20,1.1,0.7,0.9,0.9,0.9,4.6,0.14,0.70%,Submit
,,,,,,,,,
R.Gomes,,,,,,,,,
DF 4.5,,,,,,,,,
27,1,0.6,1.2,0.6,1.1,4.5,0.2,0.10%,Submit
,,,,,,,,,
Hee Chan,,,,,,,,,
MD 6.0,,,,,,,,,
7,0.5,0.8,0.9,1,1.2,4.5,0.15,0.20%,Submit
,,,,,,,,,
Boscagli,,,,,,,,,
DF 4.5,,,,,,,,,
18,0.8,0.9,0.9,0.9,1,4.5,0.2,0.10%,Submit
,,,,,,,,,
Botman,,,,,,,,,
DF 5.0,,,,,,,,,
23,0.9,0.8,0.6,1.1,1,4.4,0.18,0.50%,Submit
,,,,,,,,,
Mavropanos,,,,,,,,,
DF 4.5,,,,,,,,,
14,0.6,0.7,0.9,1.1,0.9,4.3,0.19,0.10%,Submit
,,,,,,,,,
Danso,,,,,,,,,
DF 4.5,,,,,,,,,
21,1,0.6,0.9,0.9,0.9,4.3,0.19,0.20%,Submit
,,,,,,,,,
G.Rodriguez,,,,,,,,,
MD 5.0,,,,,,,,,
15,0.6,0.7,0.8,1,1.1,4.3,0.17,0.10%,Submit
,,,,,,,,,
H.Traor�,,,,,,,,,
MD 4.5,,,,,,,,,
27,1.3,1.4,0.5,0.6,0.5,4.3,0.19,0.30%,Submit
,,,,,,,,,
Sonne,,,,,,,,,
DF 4.0,,,,,,,,,
19,0.7,1.1,0.8,0.8,0.9,4.3,0.21,0.10%,Submit
,,,,,,,,,
Clyne,,,,,,,,,
DF 4.0,,,,,,,,,
15,0.5,0.8,0.7,1.2,0.8,4.1,0.21,0.70%,Submit
,,,,,,,,,
Seelt,,,,,,,,,
DF 4.0,,,,,,,,,
66,2.2,0.7,0.7,0.3,0.1,4,0.2,0.30%,Submit
,,,,,,,,,
J.Cuenca,,,,,,,,,
DF 4.5,,,,,,,,,
37,1.3,1.2,0.8,0.3,0.4,4,0.18,0.00%,Submit
,,,,,,,,,
Bissouma,,,,,,,,,
MD 5.5,,,,,,,,,
10,0.5,0.6,0.9,1,1,3.9,0.14,0.10%,Submit
,,,,,,,,,
Masuaku,,,,,,,,,
DF 4.0,,,,,,,,,
22,0.8,0.7,1,0.7,0.7,3.9,0.19,0.30%,Submit
,,,,,,,,,
Aznou,,,,,,,,,
DF 4.5,,,,,,,,,
41,1.6,0.5,0.6,0.7,0.5,3.9,0.17,0.10%,Submit
,,,,,,,,,
Stones,,,,,,,,,
DF 5.5,,,,,,,,,
16,0.7,0.8,0.7,1.1,0.5,3.8,0.14,0.60%,Submit
,,,,,,,,,
Foster,,,,,,,,,
FW 5.0,,,,,,,,,
20,1.1,1.1,0.5,0.5,0.5,3.8,0.15,0.30%,Submit
,,,,,,,,,
Bornauw,,,,,,,,,
DF 4.0,,,,,,,,,
38,1.2,0.4,0.7,0.6,0.8,3.7,0.19,0.10%,Submit
,,,,,,,,,
M.Bizot,,,,,,,,,
GK 4.5,,,,,,,,,
93,3.4,0.1,0.1,0,0.1,3.7,0.16,0.30%,Submit
,,,,,,,,,
Lucas Pires,,,,,,,,,
DF 4.0,,,,,,,,,
17,0.5,1.1,0.7,0.6,0.7,3.7,0.18,0.20%,Submit
,,,,,,,,,
Jota,,,,,,,,,
MD 5.5,,,,,,,,,
13,0.8,0.7,0.8,0.5,0.8,3.6,0.13,0.10%,Submit
,,,,,,,,,
Neil,,,,,,,,,
MD 5.0,,,,,,,,,
16,0.6,0.6,0.9,0.7,0.8,3.6,0.14,0.00%,Submit
,,,,,,,,,
Scarles,,,,,,,,,
DF 4.5,,,,,,,,,
14,0.7,0.6,0.9,0.8,0.7,3.6,0.16,0.00%,Submit
